"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_SKU";"SPICEPREFIX";"VALUE";
"B1";"CR1220";"BATTERYCR1220_SMT";"CR1220";"CR1220 SMT - Digikey: 3001K-ND";"";"";"";"";"";"";"";"";
"C1";"0.1uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C2";"0.1uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C3";"0.1uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C4";"0.1uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C5";"47uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"C";"";
"C6";"47uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"C";"";
"C7";"0.1uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C8";"0.1uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C9";"4.7uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C10";"0.1uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C11";"0.1uF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
"C13";"0.1uF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
"C14";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C15";"0.1uF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
"C16";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C17";"100nF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
"C18";"0.1uF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
"C19";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C20";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C21";"100nF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
